,Date,Price,EMA12,EMA26,MACD,SIGNAL,CROSS,DIRECTION
213,2023-01-19,21081.2,20200.0671722214,18930.705525685724,1269.3616465356754,1013.7767012645525,True,NONE
214,2023-01-20,22677.2,20694.64299914874,19270.128155127677,1424.5148440210614,1127.2797511195195,True,NONE
215,2023-01-21,22775.7,21126.762091311397,19592.80601312576,1533.956078185638,1240.5449687422943,True,NONE
216,2023-01-22,22707.8,21479.402022498034,19884.917644202495,1594.4843782955395,1341.3657402603724,True,NONE
217,2023-01-23,22915.5,21808.728181564707,20175.22541925347,1633.5027623112364,1425.8672910946332,True,NONE
218,2023-01-24,22632.5,22028.289974981875,20421.7610807422,1606.5288942396764,1481.5831996845109,True,NONE
219,2023-01-25,23055.1,22269.46166671186,20684.862014694154,1584.5996520177068,1517.166270679105,True,NONE
220,2023-01-26,23016.0,22445.450698269255,20925.472753397404,1519.977944871851,1527.4803804338371,False,SELL
221,2023-01-27,23074.6,22584.130339477397,21153.96226659768,1430.1680728797182,1513.2491959400782,False,NONE
222,2023-01-28,23027.9,22694.91743707397,21360.713740037096,1334.2036970368754,1479.854725022032,False,NONE
223,2023-01-29,23753.1,22908.55800101476,21612.963447658527,1295.5945533562335,1443.6338032707167,False,NONE
224,2023-01-30,22832.2,22930.35975683132,21768.552614911758,1161.8071419195621,1380.9482359888716,False,NONE
225,2023-01-31,23125.1,23008.89885481258,21935.53196520538,1073.3668896072013,1308.3510890209511,False,NONE
226,2023-02-01,23725.6,23171.498099614935,22141.225691697684,1030.2724079172513,1239.1615130512002,False,NONE
227,2023-02-02,23427.6,23225.75018544378,22305.16627444928,920.5839109945009,1158.2945553257352,False,NONE
228,2023-02-03,23431.2,23270.331397481626,22457.345317968033,812.9860795135937,1070.1417675127043,False,NONE
229,2023-02-04,23323.8,23290.749107082924,22587.29857899697,703.4505280859521,975.6047900165447,False,NONE
230,2023-02-05,22936.0,23236.578054008416,22674.141366627864,562.436687380552,869.9345941158407,False,NONE
231,2023-02-06,22761.8,23166.094360816503,22737.05569288136,429.03866793514317,757.6701876788302,False,NONE
232,2023-02-07,23251.7,23183.155534038637,22831.45760637574,351.6979276628954,652.8385628290278,False,NONE
233,2023-02-08,22964.6,23148.51430537326,22884.921352320664,263.5929530525973,550.1614948557717,False,NONE
234,2023-02-09,21792.5,22914.521607461193,22823.775718329514,90.74588913167827,432.51072862364634,False,NONE
235,2023-02-10,21635.0,22690.104081531645,22742.892398002583,-52.7883164709383,308.35782143885723,False,NONE
236,2023-02-11,21859.8,22524.89310965395,22687.86623359815,-162.97312394420078,185.38447178950702,False,NONE
237,2023-02-12,21786.8,22390.64993857856,22627.508200345204,-236.8582617666434,73.09012350608917,False,NONE
238,2023-02-13,21772.6,22268.79687494453,22570.918023597333,-302.1211486528009,-28.779436287441523,False,NONE
239,2023-02-14,22198.5,22227.757858905847,22559.527379437845,-331.76952053199784,-114.28282874453424,False,NONE
240,2023-02-15,24327.9,22568.67523946728,22724.933253143463,-156.2580136761826,-139.96825872636663,False,NONE
241,2023-02-16,23539.6,22720.19371453228,22794.420454919324,-74.22674038704281,-138.9275393750944,True,BUY
242,2023-02-17,24573.5,23030.05161544578,22945.260965075257,84.79065037052351,-100.60517002717123,True,NONE
